SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
頭份,苗栗縣,25,,良好,2.6,0.25,0.2,11,18,23,10,13,14,1,3.1,245,2020-06-04 21:00,8,19,3,120.898572,24.696969,25
新竹,新竹市,21,,良好,2.9,0.31,0.2,11,21,16,8,13,15,1.8,1.9,238,2020-06-04 21:00,7,20,3,120.972075,24.805619,24
竹東,新竹縣,30,,良好,2.7,0.28,0.2,15,29,20,11,9.7,11,1.4,1,141,2020-06-04 21:00,9,18,2,121.088903,24.740644,23
湖口,新竹縣,21,,良好,2.5,0.16,0.1,16,22,17,8,8.2,8.8,0.6,3.1,221,2020-06-04 21:00,7,20,2,121.038653,24.900142,22
龍潭,桃園市,26,,良好,3.1,0.27,0.2,15,28,15,9,13,14,1.1,2.8,234,2020-06-04 21:00,8,17,3,121.21635,24.863869,21
平鎮,桃園市,27,,良好,2.6,0.3,0.2,10,19,20,11,20,22,1.6,1.3,223,2020-06-04 21:00,8,21,2,121.203986,24.952786,20
觀音,桃園市,22,,良好,3.9,0.22,0.1,15,22,14,8,8.4,9.3,0.9,4.5,231,2020-06-04 21:00,7,15,2,121.082761,25.035503,19
大園,桃園市,22,,良好,2.3,0.19,0.1,20,24,13,4,7.5,8.8,1.3,3.8,215,2020-06-04 21:00,6,15,2,121.201811,25.060344,18
桃園,桃園市,28,,良好,1.9,0.36,0.3,11,18,15,8,14,14,0.5,1.2,212,2020-06-04 21:00,9,16,3,121.304383,24.995368,17
大同,臺北市,41,,良好,4.3,1.49,1.5,-,,23,13,24,52,28,,,2020-06-04 21:00,13,27,4,121.513311,25.0632,16
松山,臺北市,37,,良好,3,0.71,0.6,6.4,25,23,12,27,47,21,1,215,2020-06-04 21:00,11,26,2,121.578611,25.05,15
古亭,臺北市,31,,良好,2.6,0.46,0.3,11,30,23,13,22,24,1.5,1.3,219,2020-06-04 21:00,10,22,2,121.529556,25.020608,14
萬華,臺北市,31,,良好,4.1,0.56,0.4,7.6,25,20,11,21,24,2.8,0.8,320,2020-06-04 21:00,9,24,3,121.507972,25.046503,13
中山,臺北市,29,,良好,3.8,0.86,0.8,6.1,20,21,9,25,49,24,1.4,260,2020-06-04 21:00,9,26,2,121.526528,25.062361,12
士林,臺北市,27,,良好,2.8,0.3,0.3,15,24,25,3,14,15,1.6,2,256,2020-06-04 21:00,8,24,3,121.515389,25.105417,11
淡水,新北市,29,,良好,1.8,0.31,0.1,9.9,22,14,10,13,14,0.7,,,2020-06-04 21:00,9,17,2,121.449239,25.1645,10
林口,新北市,25,,良好,2.6,0.3,0.2,13,22,17,11,17,19,2.6,3.1,226,2020-06-04 21:00,8,17,2,121.376869,25.077197,9
菜寮,新北市,30,,良好,3.5,0.41,0.4,11,21,20,9,15,19,3.7,1.7,220,2020-06-04 21:00,9,21,2,121.481028,25.06895,8
新莊,新北市,34,,良好,6,0.31,0.2,15,30,22,18,14,15,0.6,2.7,215,2020-06-04 21:00,11,22,4,121.4325,25.037972,7
板橋,新北市,29,,良好,3.5,0.42,0.3,7.7,25,19,7,21,24,2.6,2.4,261,2020-06-04 21:00,9,21,2,121.458667,25.012972,6
土城,新北市,33,,良好,2.3,0.41,0.3,9.7,33,23,12,21,25,3.4,1,129,2020-06-04 21:00,10,24,2,121.451861,24.982528,5
新店,新北市,34,,良好,2.2,0.45,0.3,15,37,28,11,18,21,3.7,2,174,2020-06-04 21:00,10,22,2,121.537778,24.977222,4
萬里,新北市,38,,良好,2.4,0.25,0.2,13,39,20,14,12,14,2.3,1.1,21,2020-06-04 21:00,12,20,2,121.689881,25.179667,3
汐止,新北市,40,,良好,2.2,0.52,0.3,4.8,32,26,11,25,34,9.1,1.5,123,2020-06-04 21:00,12,26,2,121.6423,25.067131,2
基隆,基隆市,42,,良好,0.5,0.46,0.3,11,34,27,16,22,26,4.2,1.1,179,2020-06-04 21:00,13,28,2,121.760056,25.129167,1
